Name,ANONYMOUS
Address,REDACTED
Account Number,REDACTED
PUCO Case,00947795

TYPE,DATE,START TIME,END TIME,USAGE (kWh),COST,NOTES
Electric usage,2025-12-30,00:00,00:14,0.62,$0.11
Electric usage,2025-12-30,00:15,00:29,0.56,$0.10
Electric usage,2025-12-30,00:30,00:44,0.51,$0.09
Electric usage,2025-12-30,00:45,00:59,0.49,$0.09
Electric usage,2025-12-30,01:00,01:14,0.53,$0.09
Electric usage,2025-12-30,01:15,01:29,0.57,$0.10
Electric usage,2025-12-30,01:30,01:44,0.43,$0.08
Electric usage,2025-12-30,01:45,01:59,0.48,$0.09
Electric usage,2025-12-30,02:00,02:14,0.40,$0.07
Electric usage,2025-12-30,02:15,02:29,0.56,$0.10
Electric usage,2025-12-30,02:30,02:44,0.39,$0.07
Electric usage,2025-12-30,02:45,02:59,0.48,$0.09
Electric usage,2025-12-30,03:00,03:14,0.48,$0.09
Electric usage,2025-12-30,03:15,03:29,0.54,$0.10
Electric usage,2025-12-30,03:30,03:44,0.47,$0.08
Electric usage,2025-12-30,03:45,03:59,0.57,$0.10
Electric usage,2025-12-30,04:00,04:14,0.47,$0.08
Electric usage,2025-12-30,04:15,04:29,0.60,$0.11
Electric usage,2025-12-30,04:30,04:44,0.47,$0.08
Electric usage,2025-12-30,04:45,04:59,0.47,$0.08
Electric usage,2025-12-30,05:00,05:14,0.48,$0.09
Electric usage,2025-12-30,05:15,05:29,0.59,$0.10
Electric usage,2025-12-30,05:30,05:44,0.56,$0.10
Electric usage,2025-12-30,05:45,05:59,0.56,$0.10
Electric usage,2025-12-30,06:00,06:14,0.49,$0.09
Electric usage,2025-12-30,06:15,06:29,0.44,$0.08
Electric usage,2025-12-30,06:30,06:44,0.52,$0.09
Electric usage,2025-12-30,06:45,06:59,0.51,$0.09
Electric usage,2025-12-30,07:00,07:14,0.50,$0.09
Electric usage,2025-12-30,07:15,07:29,0.51,$0.09
Electric usage,2025-12-30,07:30,07:44,0.46,$0.08
Electric usage,2025-12-30,07:45,07:59,0.49,$0.09
Electric usage,2025-12-30,08:00,08:14,0.50,$0.09
